,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
13,CHAS=1.0,2.7789531011404923e-05,,,,,,,
1,ZN,0.00022956033304265247,11.561904504492452,-0.01030401273666931,0.010753544270422946,0.013328141286591669,0.012265608545384126,0.0,0.0
12,CHAS=0.0,0.0005478029613707136,,,,,,,
7,RAD,0.0013909032924806866,4.289541828805091,-0.4953208387361891,0.041575296306196115,0.4953208387361891,0.04173639848272975,0.18997596048629006,0.0
2,INDUS,0.0024811616259086196,3.443039676613363,0.12936448868105385,0.03783180603883093,0.15909150371949857,0.17609418568076643,0.0,0.0
5,AGE,0.00888311208073403,13.980126746690955,0.1167201195914029,-0.14340361564481388,0.3718607420914014,0.3385197576837136,0.2932329954712163,0.1118506245113533
8,TAX,0.011790547404520122,82.98343425017102,1.1962867777901405,-0.294199892470465,1.2155308406360112,0.327490948022184,0.1351920127027526,0.12352735549522009
10,B,0.014791374995644369,45.72656881574895,-0.6662791226833594,0.1901535449722692,0.7230061427754759,0.3057171285464873,0.4171567592180345,0.0700250972372487
0,CRIM,0.030523212437975247,4.432033718258579,-0.7206691512755071,-0.298110755725248,0.9523673960295092,0.6539370180922166,0.6866276510848435,0.38896852948972693
3,NOX,0.03270481561622592,0.05877935520360989,-0.05036366060314094,-0.16282345009530155,0.6069159458729102,0.4796847393842888,0.051546699310652144,0.0
9,PTRATIO,0.03606968672414231,1.1129704632793018,0.6309293710034197,-0.4386042439861996,0.6696694332460456,0.453052822478632,0.4613422376294416,0.2622468402238427
6,DIS,0.0903543979481675,1.0642935686250505,3.9020818208881485,-0.08259406343665052,4.1024280802718565,0.9128126797721661,0.8904521443496538,0.46742595856871993
11,LSTAT,0.3372748229447979,3.5507877966079993,1.709922597183689,-1.482491302719605,1.7431466587059095,1.5474477287757828,1.4381476002187252,1.2317363087849351
4,RM,0.4329308121039785,0.3542865889835718,-1.1451233201759357,1.5878947411757829,1.350215795415902,1.7649347332396803,0.6924989679761246,0.927243170574501
